source,target,weight
36306187,39434829,1
95135529,52465314,1
57235422,14271956,1
95135529,39434829,1
86298302,33312159,1
23639240,39434829,1
14982130,74984982,1
95135529,83860362,1
86298302,39434829,1
72943648,74984982,2
55231398,75922144,1
93962012,24011228,1
99895617,72173705,1
93962012,246824,3
26777403,92630813,1
58228913,41463081,5
86218114,22640619,1
1405200,22640619,1
81134552,66363641,1
50338466,246824,2
929188,7298567,1
53087240,7298567,1
81134552,22640619,1
55231398,41265691,1
46074709,7298567,1
23915872,22640619,1
52680142,15646473,1
95391479,8227373,2
54523458,99764755,4
65379426,48520858,3
88563079,72173705,1
17509641,65116894,1
41919688,95026042,2
70148212,2598964,1
26867341,2598964,1
47436635,72173705,2
26867341,65116894,1
34115977,18555480,1
47545616,61215672,1
54145110,20630993,1
60634581,62062332,1
86800243,49606948,2
86800243,246824,6
35466522,92630813,1
35466522,36447886,1
32489882,95026042,6
134794,72173705,1
52627890,82503848,1
79114326,15972792,1
88563079,8227373,1
34115977,78722511,1
33434316,83344118,2
45111496,86231890,1
20974474,21199047,1
65851137,89973818,1
98130302,56220033,1
26302876,29467702,1
58197994,2598964,1
10163569,49261032,7
13238725,44631307,3
62391870,9663742,1
65985091,63221825,3
23730023,97382002,3
85960183,73595134,6
84623525,33295329,1
55654887,31355737,1
98535918,73595134,9
58091250,95355134,1
13674218,7669939,1
38928361,72173705,2
65942493,52465314,1
38928361,9663742,1
30097590,73595134,8
9144083,15972792,1
87682098,65116894,1
50065845,73595134,8
74048031,95026042,3
81004083,5256205,2
71129401,56978184,1
12320210,43395385,1
20381071,56220033,1
10172977,41202492,1
6156471,65116894,1
76931466,65460140,18
24774973,96684111,1
11424893,91148590,1
15221397,15870311,2
88075478,71432012,1
88075478,79719301,1
31082444,21199047,1
2135162,9663742,1
49332637,65116894,1
93604152,89973818,2
7548150,9144083,1
87865259,9663742,1
11424893,88546433,1
57235422,9663742,1
77204384,46074709,3
9107240,27230170,1
8416647,36904441,1
53484076,56610896,1
21647425,563267,2
71562987,86231890,1
33223295,89973818,1
59668417,89973818,2
35640750,56610896,1
18749776,89973818,1
9848995,89973818,2
51778721,89973818,2
53480640,89973818,2
2135162,89973818,2
34719156,89973818,3
15697392,89973818,3
9848995,39434829,1
7288851,39586864,1
43564295,66510845,1
39586864,24324066,1
43564295,49261032,1
75962025,13273827,1
85679387,46074709,1
53134238,83860362,1
58091250,86231890,1
74953343,20766236,1
8380030,60746837,1
4930242,56160664,1
61085536,20430139,1
15697392,69861453,1
15697392,70986556,1
1581751,27822384,3
55112244,563267,3
8808553,563267,2
85006125,46074709,1
24674935,6252339,1
74095614,66510845,1
24674935,46074709,1
37442555,39434829,1
75925840,1820227,1
53368243,46074709,2
38928361,33312159,1
50303844,16191580,1
53484076,66510845,1
32436427,54265539,1
99895617,89973818,1
10395102,563267,3
81004083,17053342,1
93594832,26987973,2
38928361,83860362,1
38928361,39434829,1
85679387,17037383,1
85679387,97382002,1
12872339,52465314,1
65470187,17037383,1
46664656,97382002,4
46664656,46074709,1
58808516,22944757,1
72728478,563267,2
68216113,97382002,3
20232496,49261032,4
49283356,78707509,1
51778721,70986556,1
57972593,89973818,1
65213552,563267,3
56721084,24324066,2
63337912,95026042,4
56721084,15776235,1
62043373,5117214,1
64634750,99004711,1
62043373,17037383,1
85760664,49261032,1
57701076,563267,3
13344908,95135529,1
66828386,563267,3
47520522,563267,1
15940879,563267,3
14449766,52465314,1
14449766,33295329,1
81644396,6252339,1
55231398,70986556,1
68192184,563267,2
59909494,49261032,2
2891435,27822384,1
24773262,5117214,1
35985346,563267,3
45111496,83860362,1
32489423,563267,3
42196428,563267,3
20422483,83860362,1
97106266,563267,2
49417044,563267,3
26777403,39212005,1
49332637,68713499,1
33896133,94359703,1
26302876,68713499,1
12408228,39212005,1
2497140,71950826,5
50338466,24324066,1
86208999,39212005,1
70727995,246824,4
70727995,24011228,1
35644872,49261032,2
95897476,39212005,1
61826439,48520858,1
45111496,39434829,1
96585798,31794532,1
49997514,66363641,1
91216674,49261032,4
35242547,196324,1
95391479,97323196,1
10163569,246824,4
38085694,35694981,2
86298302,76145372,1
38928361,33295329,2
73042185,15255950,1
73042185,44881144,2
47520522,26987973,1
31605161,563267,3
28601116,35694981,2
15382830,55459642,1
18913828,246824,3
17392847,92053500,2
39306352,46292963,1
4830061,7548150,1
15221397,92923013,1
35738285,65116894,1
15221397,81835731,1
76000084,43973229,2
49219164,76145372,1
49219164,43973229,1
45111496,9663742,1
49219164,89973818,1
46526699,48520858,1
11375274,94359703,1
34299070,31809212,1
34299070,43973229,2
78675178,43973229,1
86298302,20630993,2
39477491,9144083,1
64850877,95026042,4
509112,20630993,1
95902420,27822384,3
39762458,10649858,1
97619140,83344118,2
44357979,90395400,2
12302433,69608165,1
11375274,43973229,1
49778774,8227373,1
