id;source;created_date;is_retweet;text;text_retweet;language;hashtags;mentions;location;geo_location;geo_country;geo_coordinates;user_created_at;screen_name;name;profile_description;total_number_of_tweets;is_verified;followers_count;friends_count;retweets_count;favorite_count;url;listed_count;default_profile;default_profile_image;has_extended_profile;language_desc;tweet_full;pre_proc_tweet;stop_filter_tweet;pos_tags;stem_filter;lemma_filter
46000;twitter;1/20/18 0:19;TRUE;;"RT @RoseAnnDeMoro: #SinglePayer (#SB562) is a feminist issue: https://t.co/FUckLkmaZf

Compared to women in other developed countries:

🇺🇸…";en;SinglePayer, SB562;;Figure It Out;;;;2/24/14 0:40;AgeWithRage;Dino;"“Be glad you got a job”, is a damaging phrase that created an acceptance of mediocrity in the workplace; removing a will to fight for better working conditions";11547;False;754;955;246;0;;28;True;False;False;english;"rt @roseanndemoro: #singlepayer (#sb562) is a feminist issue: https://t.co/fucklkmazf

compared to women in other developed countries:

🇺🇸…";"   ( is a feminist issue: 

compared to women in other developed countries:

🇺🇸…";( feminist issue : compared women developed countries : 🇺🇸… ;[('(', '('), ('feminist', 'JJ'), ('issue', 'NN'), (':', ':'), ('compared', 'VBN'), ('women', 'NNS'), ('developed', 'VBD'), ('countries', 'NNS'), (':', ':'), ('🇺🇸…', 'NN')];( feminist issu : compar women develop countri : 🇺🇸…;( feminist issue : compare woman develop country : 🇺🇸…
46001;twitter;1/20/18 0:19;FALSE;Where will 2018 take the #MeToo movement #DoYourPart https://t.co/NBeaShkipQ;;en;MeToo, DoYourPart;;Pittsburgh, PA;;;;10/6/09 12:44;dignity_respect;Dignity & Respect;Making the world a better place for ALL to live—with ALL of our differences. Do your part. Treat everyone with dignity & respect. #DignityandRespect;6715;False;2331;1986;0;0;https://t.co/WvJycnE1bz;53;False;False;False;english;where will 2018 take the #metoo movement #doyourpart https://t.co/nbeashkipq;where will 2018 take the  movement  ;2018 take movement ;[('2018', 'CD'), ('take', 'VB'), ('movement', 'NN')];2018 take movement;2018 take movement
46002;twitter;1/20/18 0:19;FALSE;The fake feminism of the #MeToo backlash https://t.co/aWZdbozETo via @HuffPostArts;;en;MeToo;HuffPostArts;;;;;12/2/12 11:08;PeaceAficionado;Pax;worldwide;316;False;1;0;0;0;;0;True;False;False;english;the fake feminism of the #metoo backlash https://t.co/awzdbozeto via @huffpostarts;the fake feminism of the  backlash  via ;fake feminism backlash via ;[('fake', 'JJ'), ('feminism', 'NN'), ('backlash', 'NN'), ('via', 'IN')];fake femin backlash via;fake feminism backlash via
46003;twitter;1/20/18 0:19;TRUE;;RT @georgegalloway: I ask again: why is there virtual silence from international feminism, human rights liberals, #MeToo campaigners et al…;en;MeToo;;;;;;9/10/16 10:16;smal_axe;Zayema;Depuis des siècles, ils essayent de nous enterrer. ils ne savaient pas que nous étions des graines...;1007;False;29;88;4885;0;;0;True;False;False;english;rt @georgegalloway: i ask again: why is there virtual silence from international feminism, human rights liberals, #metoo campaigners et al…;  i ask again: why is there viual silence from international feminism, human rights liberals,  campaigners et al…;ask : viual silence international feminism , human rights liberals , campaigners et al… ;[('ask', 'NN'), (':', ':'), ('viual', 'JJ'), ('silence', 'NN'), ('international', 'JJ'), ('feminism', 'NN'), (',', ','), ('human', 'JJ'), ('rights', 'NNS'), ('liberals', 'NNS'), (',', ','), ('campaigners', 'NNS'), ('et', 'VBP'), ('al…', 'NN')];ask : viual silenc intern femin , human right liber , campaign et al…;ask : viual silence international feminism , human right liberal , campaigner et al…
46004;twitter;1/20/18 0:19;TRUE;;"RT @nazirafzal: 1 in 5 women stalked
1 in 4 sexually assaulted or raped
1 in 4 suffering domestic abuse
2 UK women a week murdered by abuse…";en;;;Scotland, United Kingdom;;;;3/1/14 21:22;bethrussellx;b x x x;;1825;False;186;350;1089;0;;0;False;False;False;english;"rt @nazirafzal: 1 in 5 women stalked
1 in 4 sexually assaulted or raped
1 in 4 suffering domestic abuse
2 uk women a week murdered by abuse…";"  1 in 5 women stalked
1 in 4 sexually assaulted or raped
1 in 4 suffering domestic abuse
2 uk women a week murdered by abuse…";1 5 women stalked 1 4 sexually assaulted raped 1 4 suffering domestic abuse 2 uk women week murdered abuse… ;[('1', 'CD'), ('5', 'CD'), ('women', 'NNS'), ('stalked', 'VBD'), ('1', 'CD'), ('4', 'CD'), ('sexually', 'RB'), ('assaulted', 'VBN'), ('raped', 'VBD'), ('1', 'CD'), ('4', 'CD'), ('suffering', 'NN'), ('domestic', 'JJ'), ('abuse', 'NN'), ('2', 'CD'), ('uk', 'JJ'), ('women', 'NNS'), ('week', 'NN'), ('murdered', 'VBD'), ('abuse…', 'NNS')];1 5 women stalk 1 4 sexual assault rape 1 4 suffer domest abus 2 uk women week murder abuse…;1 5 woman stalk 1 4 sexually assault rap 1 4 suffering domestic abuse 2 uk woman week murder abuse…
46005;twitter;1/20/18 0:19;FALSE;".@JacquelineMaley on the #metoo movement &amp; backlash https://t.co/7VnRngdTMY";;en;metoo;JacquelineMaley;Gadigal land/Sydney;;;;8/29/09 1:12;hollythrosby;Holly Throsby;Musician & novelist ✨ CEDAR VALLEY out now via @AllenAndUnwin 📖| Records via @Spunk_Records 💿| 1/3 of @seeklovekeep;6249;False;5717;327;0;1;https://t.co/VG7ddqku0L;132;False;False;True;english;".@jacquelinemaley on the #metoo movement &amp; backlash https://t.co/7vnrngdtmy";". on the  movement &amp; backlash ";". movement & amp ; backlash ";"[('.', '.'), ('movement', 'NN'), ('&', 'CC'), ('amp', 'NN'), (';', ':'), ('backlash', 'NN')]";". movement & amp ; backlash";". movement & amp ; backlash"
46006;twitter;1/20/18 0:18;TRUE;;RT @madblack65: “If you blame the victim then you stand for the perpetrator” #endvictimblaming #consentmatters #MeToo https://t.co/N5NVoUsF…;en;endvictimblaming, consentmatters, MeToo;;UK;;;;3/25/09 12:12;smbslt;🎆 SMBSLT 🍹🍸;Scottish Bookworm, book blogger, calls everyone Betty or wee pie. Animal lover. Book geek. ❤️  Instagram @always_reading (books/cat/randoms) 📚🐾🤓;46457;False;3300;798;635;0;https://t.co/Au892IzEVL;184;False;False;False;english;rt @madblack65: “if you blame the victim then you stand for the perpetrator” #endvictimblaming #consentmatters #metoo https://t.co/n5nvousf…;  “if you blame the victim then you stand for the perpetrator”    ;“ blame victim stand perpetrator ” ;[('“', 'JJ'), ('blame', 'NN'), ('victim', 'NN'), ('stand', 'VBP'), ('perpetrator', 'NN'), ('”', 'NN')];“ blame victim stand perpetr ”; blame victim stand perpetrator 
46007;twitter;1/20/18 0:18;TRUE;;RT @Im_a_racist_ok: RELEASE THE MEMO, MAKE THEM ACCOUNTABLE FOR THEIR ACTIONS #ReleaseTheMemo #ChicagoWest #MeToo #MAGA #TrumpShutdown;en;ReleaseTheMemo, ChicagoWest, MeToo, MAGA, TrumpShutdown;;Newburgh, IN;;;;5/9/17 15:29;_BrandonBlanton;Brandon;Proud American, Proud Husband, Proud Father, Proud Brother, Proud Son.;1000;False;27;81;1;0;;2;True;False;False;english;rt @im_a_racist_ok: release the memo, make them accountable for their actions #releasethememo #chicagowest #metoo #maga #trumpshutdown;  release the memo, make them accountable for their actions     ;release memo , make accountable actions ;[('release', 'NN'), ('memo', 'NN'), (',', ','), ('make', 'VBP'), ('accountable', 'JJ'), ('actions', 'NNS')];releas memo , make account action;release memo , make accountable action
46008;twitter;1/20/18 0:18;FALSE;"@TheSamhita some male friends have had women Power Producers harass them, so it can go either way sometimes with the power/$$ dynamic at work. &amp; there's also the topic of protecting working children - which has not been brought to the forefront of  #MeToo";;en;MeToo;TheSamhita;gypsy ✈ NYC, BOM, LAX;;;;7/12/11 17:15;shilpams1;shilpa mankikar;Director at ABC-Disney Talent Showcase.  Award-winning filmmaker, globe-trotter, rebel-rouser. @diwaloween;11739;False;1146;2498;0;0;https://t.co/JsLSWiLt2T;53;True;False;False;english;"@thesamhita some male friends have had women power producers harass them, so it can go either way sometimes with the power/$$ dynamic at work. &amp; there's also the topic of protecting working children - which has not been brought to the forefront of  #metoo";" some male friends have had women power producers harass them, so it can go either way sometimes with the power/$$ dynamic at work. &amp; there's also the topic of protecting working children - which has not been brought to the forefront of  ";"male friends women power producers harass , go either way sometimes power/ $ $ dynamic work . & amp ; 's also topic protecting working children - brought forefront ";"[('male', 'JJ'), ('friends', 'NNS'), ('women', 'NNS'), ('power', 'NN'), ('producers', 'NNS'), ('harass', 'NN'), (',', ','), ('go', 'VB'), ('either', 'DT'), ('way', 'NN'), ('sometimes', 'RB'), ('power/', 'JJ'), ('$', '$'), ('$', '$'), ('dynamic', 'JJ'), ('work', 'NN'), ('.', '.'), ('&', 'CC'), ('amp', 'VBP'), (';', ':'), (""'s"", 'POS'), ('also', 'RB'), ('topic', 'VBZ'), ('protecting', 'VBG'), ('working', 'VBG'), ('children', 'NNS'), ('-', ':'), ('brought', 'NN'), ('forefront', 'NN')]";"male friend women power produc harass , go either way sometim power/ $ $ dynam work . & amp ; 's also topic protect work children - brought forefront";"male friend woman power producer harass , go either way sometimes power/ $ $ dynamic work . & amp ; 's also topic protect work child - brought forefront"
46009;twitter;1/20/18 0:18;TRUE;;RT @georgegalloway: I ask again: why is there virtual silence from international feminism, human rights liberals, #MeToo campaigners et al…;en;MeToo;;;;;;6/27/09 16:57;Im_NickJames;(((James)));Simple minds discuss people, average minds discuss events, great minds discuss ideas. Be great. @childhonouring RT≠support #Exvangelical https://t.co/YRxeEfC1N7;11739;False;197;515;4885;0;;21;False;False;True;english;rt @georgegalloway: i ask again: why is there virtual silence from international feminism, human rights liberals, #metoo campaigners et al…;  i ask again: why is there viual silence from international feminism, human rights liberals,  campaigners et al…;ask : viual silence international feminism , human rights liberals , campaigners et al… ;[('ask', 'NN'), (':', ':'), ('viual', 'JJ'), ('silence', 'NN'), ('international', 'JJ'), ('feminism', 'NN'), (',', ','), ('human', 'JJ'), ('rights', 'NNS'), ('liberals', 'NNS'), (',', ','), ('campaigners', 'NNS'), ('et', 'VBP'), ('al…', 'NN')];ask : viual silenc intern femin , human right liber , campaign et al…;ask : viual silence international feminism , human right liberal , campaigner et al…
