,name,followers_count,total_number_of_tweets,location,language,tweet_count
0,Mike,1711,12173,United States,en,5
1,MaxGoode,1081,35452,"Resistance, Nutopia, NorthSA.",en,4
2,Mary,742,147360,United States,en,3
3,The Third Eye,238,343472,"San Francisco, CA",en,3
4,Terry,533.0,2861.0,"Florida, USA",en,3
5,Summer Anne Burton,11277.0,36529,"Austin, TX",en,2
6,Sebastian Fiebrig,3182,47166,"Berlin, Germany",de,2
7,Juliane Löffler,2957.0,4525,Berlin,de,2
8,Lee,2120,88237,USA,en,2
9,Winning,380.0,23984,United States,en,2
10,꧁༺  🌸 ʝʊʟɨɛ  🌺༻꧂,16791.0,20684,"Indiana, USA",en,2
11,WELT News,363214.0,171286.0,Berlin,de,2
12,J_BLUE_WAVE,4380,68508,USA,en,2
13,Elle,353,3805,United States,en,2
14,Josh,86.0,7666,"Los Angeles, CA",en,2
15,Andrea,308.0,32685,"Stockholm, Sverige",sv,2
16,Blake Kitterman,1383,15080,"Chattanooga, TN",en,2
17,🌎🌹🇵🇷 The Oracle LolaReSister 🇵🇷🌹🌍,1685.0,14895,USA,en,2
18,QueenofCool,579,15195,"California, USA",en,2
19,James,856,45648,United States,en,2
20,Melanie Monhart,65.0,68.0,"Fairview Park, OH",en,2
21,Julie,192.0,34594,"Florida, USA",en,2
22,Patriot Tank,277,6863,Vancouver Washington,en,2
23,DONALDUS MAGNUS,497,35255,ATX,en,2
24,Mike,1711,12173,"Phoenix, AZ",en,2
25,Amy Pence-Brown,1525.0,6216.0,"Boise, Idaho",en,2
26,the entire lizzie saltzman community,3523,69498,nico • they/them ,en,2
27,Tina,586.0,63273,United States,en,2
28,Reuben,1072.0,78825,Some Place Chill,en,2
29,Tina,586.0,63273,"British Columbia, Canada",en,2
30,T,2523,32589,"Texas, USA",en,2
31,ArtistRack,46488,1099042,Worldwide,en,2
32,"Ade Adamson, MD MPP",2208.0,13025,"Austin, TX",en,2
33,Melody,30.0,1176,"Los Angeles, CA",en,2
34,Donald J. Trump,1584.0,18550.0,"New York, NY",en,2
35,LK,3116,111537,United States,en,2
36,Veronica,176,7557,United States,en,2
37,Imran Siddiquee,7074,9053,"Philadelphia, PA",en,2
38,Caroline O'Donovan,9346.0,29550,Northern Cali / Silicon Valley,en,2
39,Cindy Lou Who,3208,38869.0,"Florida, USA",en,2
40,mónica m. zorrilla,1102.0,36535,"Philadelphia, PA",en,2
41,Linrose 🌊Liberal Patriot ✌🏼🇺🇸,11171.0,66443, USA,en,2
42,Alyssa,477,6338,Fiji,en,2
43,🇺🇸 SKY45 🇺🇸,75990,139551.0,United States,en,2
44,USA Country gal.🇺🇸,53.0,2348,USA,en,2
45,Marlon Fuentes ⚡️Se Habla Español,912,2570,Los Angeles,en,2
46,CJ,74.0,2922,United States,en,2
47,TYWIN LANNISTER (FAN ACCOUNT),5495,128001,Barovia,en,2
48,viva le resistance #TFA 🥀,2288,51175,"Hope, AR",en,2
49,Still With Merrick,2443.0,97651,Oceania,en,2
50,Red starburst,1182.0,6759,United States,en,2
51,How to Train Your Axolotl,714,12761.0,United States,en,2
52,Emma Loop,33208.0,38034,"Washington, DC",en,2
53,Carol Chappell,2358.0,66331,Cleveland oh,en,2
54,S,107.0,31921,Chicago,en,2
55,Gary,333,11625,United States,en,2
56,Luis Del Valle,90978.0,33842,Mexico City,es,2
57,Steven W. Thrasher,15467,29695,NYC,en,2
58,Mark Klein,402.0,22456.0,USA,en,2
59,Dominic Holden,26577,30068,NYC/DC,en,2
60,Laura,494.0,3013,United States,en,2
61,⚘⚘#CovfefeLadyC⚘⚘2nd,23205,241712,North Carolina,en,2
62,Common Cents Kent,66695,121634,Home of the brave,en,2
63,R N Das,105,9380,"Mahottari,Nepal",hi,2
64,Yarnie 🌹,14187.0,90098,"Davenport, IA",en,2
65,Dana,658.0,1919.0,United States,en,2
66,Kovie Biakolo,4117.0,4615,NYC,en,2
67,Daniel,315,134949,"Bogotá, D.C., Colombia",en,2
68,Elizabeth A. Morris,2463,80287,Ottawa,en,2
