id;source;created_date;is_retweet;text;text_retweet;language;hashtags;mentions;location;geo_location;geo_country;geo_coordinates;user_created_at;screen_name;name;profile_description;total_number_of_tweets;is_verified;followers_count;friends_count;retweets_count;favorite_count;url;listed_count;default_profile;default_profile_image;has_extended_profile;language_desc;tweet_full;pre_proc_tweet;stop_filter_tweet;pos_tags;stem_filter;lemma_filter
52000;twitter;3/18/19 7:00;TRUE;;RT @FT: Tech investors include #MeToo clauses in start-up deals https://t.co/eqpdNAeVYB;en;MeToo;;India;;;;12/28/12 5:18;smadygo;»»»S;There's no God and there's no need of any Religion. Anti-theistic Atheist. @IncIndia;311744;False;1865;1691;28;0;https://t.co/YrzaHf3yaa;192;False;False;False;english;rt @ft: tech investors include #metoo clauses in start-up deals https://t.co/eqpdnaevyb;  tech investors include  clauses in sta-up deals ;tech investors include clauses sta-up deals ;[('tech', 'JJ'), ('investors', 'NNS'), ('include', 'VBP'), ('clauses', 'NNS'), ('sta-up', 'JJ'), ('deals', 'NNS')];tech investor includ claus sta-up deal;tech investor include clause sta-up deal
52001;twitter;3/18/19 7:00;TRUE;;"RT @EmperorLemon: nobody:

jk rowling: Gandalf drinks cat cum

shane dawsone: #MeToo 

Leafy: hey whats up reptilian army today we're gonna…";en;MeToo;;;;;;10/5/16 22:35;_RockinRyan_;Name Can Be Blank;You probably checked my profile because I posted something you don't like.;359;False;31;112;846;0;;1;False;False;True;english;"rt @emperorlemon: nobody:

jk rowling: gandalf drinks cat cum

shane dawsone: #metoo 

leafy: hey whats up reptilian army today we're gonna…";"  nobody:

jk rowling: gandalf drinks cat cum

shane dawsone:  

leafy: hey whats up reptilian army today we're gonna…";nobody : jk rowling : gandalf drinks cat cum shane dawsone : leafy : hey whats reptilian army today 're gon na … ;"[('nobody', 'NN'), (':', ':'), ('jk', 'NN'), ('rowling', 'NN'), (':', ':'), ('gandalf', 'JJ'), ('drinks', 'NNS'), ('cat', 'VBP'), ('cum', 'JJ'), ('shane', 'NN'), ('dawsone', 'NN'), (':', ':'), ('leafy', 'NN'), (':', ':'), ('hey', 'NN'), ('whats', 'NNS'), ('reptilian', 'JJ'), ('army', 'NN'), ('today', 'NN'), (""'re"", 'VBP'), ('gon', 'NN'), ('na', 'TO'), ('…', 'VB')]";nobodi : jk rowl : gandalf drink cat cum shane dawson : leafi : hey what reptilian armi today 're gon na …;nobody : jk rowling : gandalf drink cat cum shane dawsone : leafy : hey whats reptilian army today 're gon na …
52002;twitter;3/18/19 7:00;FALSE;"#I_Have_a_Dream😊#MeToo  😍
#Freedom #Justice &amp; #Democracy😍🤗

Might and wrong combined, like iron magnetized, are endowed with irresistible attraction.

#Quote 😀#Team_1W1Lツ👉Nathaniel Hawthorne https://t.co/ejlK4eX6eL";;en;I_Have_a_Dream, MeToo, Freedom, Justice, Democracy, Quote, Team_1W1Lツ;;Near me ... most of the time ...;;;;11/2/18 12:58;Paolo_Pap_1;Paolo;🖕🐸Ciao ... People ... 👉#I_Have_a_Dream😊#MeToo  😍#Freedom #Justice & #Democracy😍🤗#Quote ...😀#Team_1W1Lツ😀Thank you for visiting my World ...;114620;False;1366;1339;0;0;https://t.co/L0FNLpPEMd;3;True;False;True;english;"#i_have_a_dream😊#metoo  😍
#freedom #justice &amp; #democracy😍🤗

might and wrong combined, like iron magnetized, are endowed with irresistible attraction.

#quote 😀#team_1w1lツ👉nathaniel hawthorne https://t.co/ejlk4ex6el";"  😍
  &amp; emocracy😍🤗

might and wrong combined, like iron magnetized, are endowed with irresistible attraction.

 😀 hawthorne ";"😍 & amp ; emocracy😍🤗 might wrong combined , like iron magnetized , endowed irresistible attraction . 😀 hawthorne ";"[('😍', 'NN'), ('&', 'CC'), ('amp', 'NN'), (';', ':'), ('emocracy😍🤗', 'CC'), ('might', 'MD'), ('wrong', 'VB'), ('combined', 'JJ'), (',', ','), ('like', 'IN'), ('iron', 'NN'), ('magnetized', 'VBN'), (',', ','), ('endowed', 'VBD'), ('irresistible', 'JJ'), ('attraction', 'NN'), ('.', '.'), ('😀', 'JJ'), ('hawthorne', 'NN')]";"😍 & amp ; emocracy😍🤗 might wrong combin , like iron magnet , endow irresist attract . 😀 hawthorn";"😍 & amp ; emocracy😍🤗 might wrong combined , like iron magnetize , endow irresistible attraction . 😀 hawthorne"
52003;twitter;3/18/19 6:59;TRUE;;RT @EvillySexyBitch: @LivintheHouse @_lostghost @ParisJackson And Oprah defending it! What a HYPOCRITE. Best friends with #HarveyWeinstein…;en;HarveyWeinstein;LivintheHouse,_lostghost,ParisJackson;Veracruz, México;;;;11/27/12 22:16;MitzelPonce;miprv💎;LOS JONAS BROTHERS VOLVIERON!!!!!!!!!!!!;7176;False;497;1355;1;0;;1;False;False;True;english;rt @evillysexybitch: @livinthehouse @_lostghost @parisjackson and oprah defending it! what a hypocrite. best friends with #harveyweinstein…;     and oprah defending it! what a hypocrite. best friends with ;oprah defending ! hypocrite . best friends ;[('oprah', 'JJ'), ('defending', 'NN'), ('!', '.'), ('hypocrite', 'NN'), ('.', '.'), ('best', 'JJS'), ('friends', 'NNS')];oprah defend ! hypocrit . best friend;oprah defending ! hypocrite . best friend
52004;twitter;3/18/19 6:59;TRUE;;RT @Queenof21509310: @LynnKHall I agree. As a military sexual assault survivor I found her disclosure both courageous but at the same time…;en;;LynnKHall;Maryland;;;;3/14/09 23:25;MsHeatherBates;Heather Bates☀☂☁;Born on July 4th in Augusta, Georgia. USAF Veteran, AmeriCorps Alumna https://t.co/DclCNFrAKJ;46120;False;683;529;2;0;https://t.co/f0ak4efOtP;36;False;False;False;english;rt @queenof21509310: @lynnkhall i agree. as a military sexual assault survivor i found her disclosure both courageous but at the same time…;   i agree. as a military sexual assault survivor i found her disclosure both courageous but at the same time…;agree . military sexual assault survivor found disclosure courageous time… ;[('agree', 'NN'), ('.', '.'), ('military', 'JJ'), ('sexual', 'JJ'), ('assault', 'NN'), ('survivor', 'NN'), ('found', 'VBD'), ('disclosure', 'RB'), ('courageous', 'JJ'), ('time…', 'NN')];agre . militari sexual assault survivor found disclosur courag time…;agree . military sexual assault survivor find disclosure courageous time…
52005;twitter;3/18/19 6:59;FALSE;@USEmbassySeoul @voguemagazine No one should be promoting this amid the #MeToo⁠ ⁠movement in South Korea supported by @USAmbROK. She looks frail and sickly, or a helpless Miss Saigon. I am personally disgusted.;;en;MeToo;USEmbassySeoul,voguemagazine,USAmbROK;New York;;;;10/14/09 2:42;AngelaJMin;Angela J Min;God bless America. Peace for the Korean peninsula. New York, Maine, Korea, God. #Excelsior #Dirigo #Invictus #DieuEtMonDroit;440;False;207;456;0;0;;12;False;False;True;english;@usembassyseoul @voguemagazine no one should be promoting this amid the #metoo⁠ ⁠movement in south korea supported by @usambrok. she looks frail and sickly, or a helpless miss saigon. i am personally disgusted.;  no one should be promoting this amid the  ⁠movement in south korea suppoed by  she looks frail and sickly, or a helpless miss saigon. i am personally disgusted.;one promoting amid ⁠movement south korea suppoed looks frail sickly , helpless miss saigon . personally disgusted . ;[('one', 'CD'), ('promoting', 'NN'), ('amid', 'IN'), ('\u2060movement', 'JJ'), ('south', 'JJ'), ('korea', 'JJ'), ('suppoed', 'NN'), ('looks', 'VBZ'), ('frail', 'JJ'), ('sickly', 'NN'), (',', ','), ('helpless', 'JJ'), ('miss', 'NN'), ('saigon', 'NN'), ('.', '.'), ('personally', 'RB'), ('disgusted', 'VBN'), ('.', '.')];one promot amid ⁠movement south korea suppo look frail sickli , helpless miss saigon . person disgust .;one promoting amid ⁠movement south korea suppoed look frail sickly , helpless miss saigon . personally disgust .
52006;twitter;3/18/19 6:59;FALSE;"12.29pm Raian Karanjawala having #GE $GE whistle-blower &amp; #MeToo #MeTooIndia survivor Seema Sapra poisoned in the Delhi High Court @realDonaldTrump @StateDept @FBI @TheJusticeDept @CPDelhi @DelhiPolice @HMOIndia @IPSMadhurVerma @WhiteHouse @gurgaonpolice @PMOIndia @POTUS";;en;GE, MeToo, MeTooIndia;realDonaldTrump,StateDept,FBI,TheJusticeDept,CPDelhi,DelhiPolice,HMOIndia,IPSMadhurVerma,WhiteHouse,gurgaonpolice,PMOIndia,POTUS;New Delhi, India;;;;4/29/12 4:28;SeemaSapraLaw;Seema Sapra;Ex General Electric lawyer whistleblower on $GE corruption  & #MeToo #MeTooIndia survivor who exposed Soli Sorabjee & Raian Karanjawala;113782;False;1501;4641;0;0;https://t.co/YsziMMn5cn;61;False;False;False;english;"12.29pm raian karanjawala having #ge $ge whistle-blower &amp; #metoo #metooindia survivor seema sapra poisoned in the delhi high court @realdonaldtrump @statedept @fbi @thejusticedept @cpdelhi @delhipolice @hmoindia @ipsmadhurverma @whitehouse @gurgaonpolice @pmoindia @potus";"12.29pm raian karanjawala having  $ge whistle-blower &amp;   survivor seema sapra poisoned in the delhi high cou            ";"12.29pm raian karanjawala $ ge whistle-blower & amp ; survivor seema sapra poisoned delhi high cou ";"[('12.29pm', 'CD'), ('raian', 'JJ'), ('karanjawala', 'FW'), ('$', '$'), ('ge', 'CD'), ('whistle-blower', 'NN'), ('&', 'CC'), ('amp', 'NN'), (';', ':'), ('survivor', 'CC'), ('seema', 'VB'), ('sapra', 'NN'), ('poisoned', 'VBN'), ('delhi', 'RB'), ('high', 'JJ'), ('cou', 'NN')]";"12.29pm raian karanjawala $ ge whistle-blow & amp ; survivor seema sapra poison delhi high cou";"12.29pm raian karanjawala $ ge whistle-blower & amp ; survivor seema sapra poison delhi high cou"
52007;twitter;3/18/19 6:59;FALSE;"Why 21st Century Leadership is ALL About Equality: https://t.co/93MAXFGEyr
#feminism #metoo";;en;feminism, metoo;;Finland|Europe|Earth|Online;;;;7/6/11 18:40;annemariayritys;Anne-Maria Yritys;"Digi & SOME #Strategist & #GREEN #FEMINIST - Twitter billionaire with + 1.000.000.000 views. 
FW/RT = no endorsement. Biz inquiries: https://t.co/Js2LmU3mnp";773640;False;454295;250190;0;1;https://t.co/AD81bRVnas;2007;False;False;False;english;"why 21st century leadership is all about equality: https://t.co/93maxfgeyr
#feminism #metoo";"why 21st century leadership is all about equality: 
 ";21st century leadership equality : ;[('21st', 'JJ'), ('century', 'NN'), ('leadership', 'NN'), ('equality', 'NN'), (':', ':')];21st centuri leadership equal :;21st century leadership equality :
52008;twitter;3/18/19 6:58;TRUE;;"RT @EmperorLemon: nobody:

jk rowling: Gandalf drinks cat cum

shane dawsone: #MeToo 

Leafy: hey whats up reptilian army today we're gonna…";en;MeToo;;;;;;4/1/17 18:16;mc7e12;Alastair;Yeahhhhh no.;308;False;29;178;846;0;;0;True;False;False;english;"rt @emperorlemon: nobody:

jk rowling: gandalf drinks cat cum

shane dawsone: #metoo 

leafy: hey whats up reptilian army today we're gonna…";"  nobody:

jk rowling: gandalf drinks cat cum

shane dawsone:  

leafy: hey whats up reptilian army today we're gonna…";nobody : jk rowling : gandalf drinks cat cum shane dawsone : leafy : hey whats reptilian army today 're gon na … ;"[('nobody', 'NN'), (':', ':'), ('jk', 'NN'), ('rowling', 'NN'), (':', ':'), ('gandalf', 'JJ'), ('drinks', 'NNS'), ('cat', 'VBP'), ('cum', 'JJ'), ('shane', 'NN'), ('dawsone', 'NN'), (':', ':'), ('leafy', 'NN'), (':', ':'), ('hey', 'NN'), ('whats', 'NNS'), ('reptilian', 'JJ'), ('army', 'NN'), ('today', 'NN'), (""'re"", 'VBP'), ('gon', 'NN'), ('na', 'TO'), ('…', 'VB')]";nobodi : jk rowl : gandalf drink cat cum shane dawson : leafi : hey what reptilian armi today 're gon na …;nobody : jk rowling : gandalf drink cat cum shane dawsone : leafy : hey whats reptilian army today 're gon na …
52009;twitter;3/18/19 6:58;TRUE;;"RT @mefeater: Did ‘Diary of a Video Vixen’ Influence the #MeToo Movement?

https://t.co/XSmY2eAChj https://t.co/8jvefb1eUY";en;MeToo;;Joburg, SA ;;;;7/30/11 12:27;mamocha1;M A M O C H A;...;48368;False;634;2683;109;0;;23;True;False;False;english;"rt @mefeater: did ‘diary of a video vixen’ influence the #metoo movement?

https://t.co/xsmy2eachj https://t.co/8jvefb1euy";"  did ‘diary of a video vixen’ influence the  movement?

 ";‘ diary video vixen ’ influence movement ? ;[('‘', 'JJ'), ('diary', 'JJ'), ('video', 'NN'), ('vixen', 'NN'), ('’', 'NNP'), ('influence', 'NN'), ('movement', 'NN'), ('?', '.')];‘ diari video vixen ’ influenc movement ?;‘ diary video vixen ’ influence movement ?
